dates	cp	slope	colour	group	diff_jump	park_depth	wmo	cycle	num_date	biovolume
2022-06-11T00:40:11Z	0.41856685626047063	1.1104917992230994	jump	group_172	0.023122392902805045	1000 m	6904240	5	1654908011	0.1705240366400618
2022-06-11T13:40:11Z	0.42641320123656873	0.14132079967402153	jump	group_173	0.002944183326542116	1000 m	6904240	5	1654954811	0.3986529043998514
2022-06-11T14:10:11Z	0.4329635998182618	0.3144191319212685	jump	group_191	0.006550398581693095	1000 m	6904240	5	1654956611	0.3986529043998514
2022-06-11T23:10:11Z	0.4662079796165526	1.3595775212799006	jump	group_193	0.028324531693331267	1000 m	6904240	5	1654989011	0.32913773230170323
2022-06-12T00:10:11Z	0.469183801204518	0.09523809719086883	jump	group_202	0.0019841270248097675	1000 m	6904240	5	1654992611	0.3784396795578043
2022-06-12T04:40:09Z	0.4781245723427915	0.302099354280247	jump	group_208	0.0062937365475051466	1000 m	6904240	5	1655008809	0.3371543097045397
2022-06-12T07:40:09Z	0.4850923481497326	0.3026256381629792	jump	group_210	0.006304700795062068	1000 m	6904240	5	1655019609	0.4742950329565609
2022-06-12T08:40:09Z	0.48808225734587646	0.1435156414149041	jump	group_224	0.002989909196143836	1000 m	6904240	5	1655023209	0.4742950329565609
2022-06-12T15:40:09Z	0.4920722826143783	0.17556840659750247	jump	group_231	0.003657675137447969	1000 m	6904240	5	1655048409	0.30491621788848744
2022-06-12T19:10:09Z	0.5184397693059799	1.1218729748465923	jump	group_242	0.023372353642637345	1000 m	6904240	5	1655061009	0.30302659739273635
2022-06-13T00:40:07Z	0.5196125721277578	0.10462574488235728	jump	last_group	0.002177281126139796	1000 m	6904240	5	1655080807	0.3640098419782682
2022-06-18T13:30:01Z	-0.02580275770415218	0.08415516242551295	jump	group_17	0.00175323255053152	1000 m	6904240	6	1655559001	0.2940938408316392
2022-06-18T16:30:01Z	-0.020245779513582	0.22464353568185377	jump	group_24	0.004680073660038621	1000 m	6904240	6	1655569801	0.15300209097616352
2022-06-18T20:00:01Z	-0.01468107058022184	0.09845072185825098	jump	group_26	0.002051056705380229	1000 m	6904240	6	1655582401	0.3055460930802167
2022-06-18T21:00:01Z	-0.01204245136188122	0.09851567011077168	jump	group_32	0.0020524097939744104	1000 m	6904240	6	1655586001	0.3055460930802167
2022-06-19T00:00:01Z	-0.00646631046839339	0.11274222285195262	jump	group_33	0.00234879630941568	1000 m	6904240	6	1655596801	0.1729290097582394
2022-06-19T00:30:01Z	-0.00235259527440494	0.1974583293114456	jump	group_36	0.004113715193988451	1000 m	6904240	6	1655598601	0.1729290097582394
2022-06-19T02:00:01Z	0.00677142913707504	0.339147802909984	jump	group_42	0.007065579227291334	1000 m	6904240	6	1655604001	0.2084309928597164
2022-06-19T05:00:01Z	0.01355434077827727	0.21239723394680932	jump	group_62	0.004424942373891861	1000 m	6904240	6	1655614801	0.44858472685959727
2022-06-19T15:00:00Z	0.02537817439507596	0.21302565149911448	jump	group_80	0.004438034406231552	1000 m	6904240	6	1655650800	0.23797780434728585
2022-06-20T00:00:00Z	0.03515921739254101	0.2562277960343689	jump	group_96	0.005338079084049353	1000 m	6904240	6	1655683200	0.1888476412560546
2022-06-20T08:00:00Z	0.0410987834107571	0.14260250209905187	jump	group_102	0.0029708854603969145	1000 m	6904240	6	1655712000	0.38679982483462017
2022-06-20T10:59:58Z	0.04764250884398077	0.19994051196899273	jump	group_103	0.004165427332687349	1000 m	6904240	6	1655722798	0.2216010827372442
2022-06-20T11:29:58Z	0.05330253585428621	0.27168129649466116	jump	group_128	0.005660027010305442	1000 m	6904240	6	1655724598	0.2216010827372442
2022-06-20T23:59:58Z	0.06614172128879056	0.2725541195113263	jump	group_154	0.005678210823152632	1000 m	6904240	6	1655769598	0.28241254334052357
2022-06-21T12:59:56Z	0.07662273046716106	0.1582556007322242	jump	group_190	0.003296991681921338	1000 m	6904240	6	1655816396	0.21810814595312755
2022-06-22T06:59:56Z	0.08863475150623909	0.08659700966162952	jump	last_group	0.0018041043679506152	1000 m	6904240	6	1655881196	0.2546408306367772
2022-06-28T02:59:02Z	-0.01336195436858751	0.11955607566978742	jump	group_51	0.002490751576453905	1000 m	6904240	7	1656385142	0.2042509213621162
2022-06-29T00:59:01Z	0.02005312368628509	1.0190205255840705	jump	group_66	0.02122959428300147	1000 m	6904240	7	1656464341	0.1978376589124442
2022-06-29T08:29:01Z	0.03397236180932151	0.4267300615702104	jump	group_74	0.00889020961604605	1000 m	6904240	7	1656491341	0.2738233523642651
2022-06-29T12:29:01Z	0.04080159555074464	0.11408199979128818	jump	group_75	0.0023767083289851706	1000 m	6904240	7	1656505741	0.2399819476388472
2022-06-29T12:59:01Z	0.0431797169049789	0.11414982500324432	jump	group_76	0.002378121354234257	1000 m	6904240	7	1656507541	0.2399819476388472
2022-06-29T13:29:01Z	0.04913121331611287	0.28567182773443073	jump	group_84	0.005951496411133975	1000 m	6904240	7	1656509341	0.22326165848420035
2022-06-29T17:29:01Z	0.05568810324272277	0.17173525295238232	jump	group_85	0.003577817769841299	1000 m	6904240	7	1656523741	0.4299175560720194
2022-06-29T17:59:01Z	0.06315218452780817	0.35827590168409934	jump	group_97	0.007464081285085404	1000 m	6904240	7	1656525541	0.4299175560720194
2022-06-29T23:59:01Z	0.08052268202671196	0.6328569667081948	jump	group_103	0.01318452013975406	1000 m	6904240	7	1656547141	0.3307410484116909
2022-06-30T02:58:59Z	0.08743192485456545	0.25959592326933695	jump	group_125	0.005408248401444521	1000 m	6904240	7	1656557939	0.20906086666697166
2022-06-30T13:58:59Z	0.09766749904060695	0.1301743995022566	jump	group_126	0.002711966656297013	1000 m	6904240	7	1656597539	0.22801434404383314
2022-06-30T14:28:59Z	0.10038130563522404	0.13026271654162033	jump	group_134	0.002713806594617091	1000 m	6904240	7	1656599339	0.22801434404383314
2022-06-30T18:28:59Z	0.1055124136770721	0.13042986500002127	jump	group_135	0.0027172888541671103	1000 m	6904240	7	1656613739	0.21633304713353801
2022-06-30T18:58:59Z	0.1112549814396194	0.27564325260227	jump	group_136	0.005742567762547293	1000 m	6904240	7	1656615539	0.21633304713353801
2022-06-30T19:28:59Z	0.1139780253025825	0.13070610542222869	jump	group_145	0.002723043862963098	1000 m	6904240	7	1656617339	0.1631945957715144
2022-06-30T23:58:59Z	0.124585297495757	0.3201941312132028	jump	group_146	0.006670711066941726	1000 m	6904240	7	1656633539	0.26420346254387594
2022-07-01T00:28:57Z	0.14009213915825242	0.7451563513012256	jump	group_154	0.015506841662495413	1000 m	6904240	7	1656635337	0.26420346254387594
2022-07-01T04:28:57Z	0.1492419715886479	0.2929062352967086	jump	group_160	0.006102213235348097	1000 m	6904240	7	1656649737	0.2642034621059935
2022-07-01T07:28:57Z	0.15627104471961042	0.249436434150589	jump	group_187	0.005196592378137271	1000 m	6904240	7	1656660537	0.33555099278094036
2022-07-01T20:58:57Z	0.17989346257092487	0.25091290037503716	jump	group_217	0.005227352091146609	1000 m	6904240	7	1656709137	0.2225745239242429
2022-07-02T11:58:56Z	0.19685243960306775	0.3408328761358121	jump	last_group	0.007100684919496086	1000 m	6904240	7	1656763136	0.505101593328995
2022-07-08T02:16:04Z	0.01178377638197626	0.169861408896756	jump	group_24	0.0035387793520157505	1000 m	6904240	8	1657246564	0.18300699186443997
2022-07-08T10:46:04Z	0.01857520015201373	0.12762657879739006	jump	group_37	0.00265888705827896	1000 m	6904240	8	1657277164	1.2166873006649148
2022-07-08T17:16:04Z	0.02449017350342768	0.12781538250788635	jump	group_48	0.0026628204689142995	1000 m	6904240	8	1657300564	0.42676818637639535
2022-07-08T22:46:04Z	0.03100676262247052	0.227538727467647	jump	group_57	0.00474039015557598	1000 m	6904240	8	1657320364	0.3280497706677272
2022-07-09T03:16:02Z	0.03604959023984598	0.08546628229262475	jump	group_58	0.0017805475477630159	1000 m	6904240	8	1657336562	0.3703658439382005
2022-07-09T03:46:02Z	0.03812789795036019	0.0997587701046818	jump	group_60	0.0020783077105142045	1000 m	6904240	8	1657338362	0.3703658439382005
2022-07-09T04:46:02Z	0.05002470202091866	0.5425345668223769	jump	group_82	0.011302803475466187	1000 m	6904240	8	1657341962	0.30027805788244183
2022-07-09T15:46:02Z	0.06046351046563793	0.14329428234346128	jump	group_83	0.0029852975488221106	1000 m	6904240	8	1657381562	0.16285102781975708
2022-07-09T16:16:02Z	0.06763732796166433	0.3443432398092671	jump	group_102	0.0071738174960263995	1000 m	6904240	8	1657383362	0.16285102781975708
2022-07-10T01:46:01Z	0.07542350995150772	0.08631153213457042	jump	group_112	0.0017981569194702174	1000 m	6904240	8	1657417561	0.21037787623979837
2022-07-10T06:46:01Z	0.08893551469296702	0.44703163384149563	jump	group_125	0.009313159038364494	1000 m	6904240	8	1657435561	0.27416692193439796
2022-07-10T13:16:01Z	0.09465431622392032	0.11562782643954049	jump	group_132	0.0024089130508237605	1000 m	6904240	8	1657458961	0.2518350292754556
2022-07-10T16:46:01Z	0.12276490911482324	1.2480769571526034	jump	group_138	0.026001603274012575	1000 m	6904240	8	1657471561	0.31762822005839675
2022-07-10T19:46:01Z	0.1349165095592027	0.42305225488741577	jump	group_139	0.00881358864348783	1000 m	6904240	8	1657482361	0.12769261293244566
2022-07-10T20:16:01Z	0.1413109082109474	0.306931135283746	jump	group_147	0.006394398651744709	1000 m	6904240	8	1657484161	0.12769261293244566
2022-07-11T00:15:59Z	0.1553535083008609	0.6155260595775552	jump	group_153	0.012823459574532403	1000 m	6904240	8	1657498559	0.11864533408802315
2022-07-11T03:15:59Z	0.16729792971801297	0.4558651090334331	jump	group_172	0.009497189771529857	1000 m	6904240	8	1657509359	0.22246000186434506
2022-07-11T12:45:59Z	0.1875931762092621	0.5614903185922472	jump	group_173	0.011697714970671819	1000 m	6904240	8	1657543559	0.18014392859878248
2022-07-11T13:15:59Z	0.1928374603060096	0.2517256366438793	jump	group_193	0.005244284096747487	1000 m	6904240	8	1657545359	0.18014392859878248
2022-07-11T23:15:59Z	0.2011807751622131	0.07422584852948065	jump	group_198	0.0015463718443641805	1000 m	6904240	8	1657581359	0.2575038944438565
2022-07-12T01:45:58Z	0.2076820729828672	0.17838341326514404	jump	group_202	0.0037163211096905013	1000 m	6904240	8	1657590358	0.2477122182720609
2022-07-12T03:45:58Z	0.2098515225382356	0.07438689024123855	jump	group_203	0.0015497268800258035	1000 m	6904240	8	1657597558	0.11824450580647601
2022-07-12T04:15:58Z	0.21543551599975783	0.26803168615306644	jump	group_204	0.005583993461522219	1000 m	6904240	8	1657599358	0.11824450580647601
2022-07-12T04:45:58Z	0.21729858077493872	0.08942710920868267	jump	group_223	0.0018630647751808893	1000 m	6904240	8	1657601158	0.1902791722520684
