group	min_time	max_time	nb_points	first_cp	last_cp	delta_x	delta_y	slope	min_drifting_time	max_drifting_time	small_flux	big_flux	park_depth	wmo	cycle
group_97	2023-01-06T15:06:00Z	2023-01-08T00:35:58Z	68	0.1489141835610467	0.15722753587404217	1.3958101851851852	0.0020783380782488717	0.0014889833161470549	2023-01-06T01:06:00Z	2023-01-10T18:35:55Z	4.886211283684123	1.4744477617687997	1000 m	4903634	29
group_101	2023-01-08T01:35:57Z	2023-01-08T02:35:57Z	3	0.1581878816031161	0.15914845795353957	0.041666666666666664	2.4014408760587164e-4	0.005763458102540919	2023-01-06T01:06:00Z	2023-01-10T18:35:55Z	4.886211283684123	1.4744477617687997	1000 m	4903634	29
group_137	2023-01-08T04:05:57Z	2023-01-08T20:35:57Z	34	0.1613907002544965	0.16876693004570653	0.6875	0.0018440574478025065	0.0026822653786218275	2023-01-06T01:06:00Z	2023-01-10T18:35:55Z	4.886211283684123	1.4744477617687997	1000 m	4903634	29
group_167	2023-01-08T21:35:57Z	2023-01-09T11:35:56Z	29	0.170051142272806	0.17422773340892006	0.5833217592592592	0.001044147784028518	0.0017900031456986043	2023-01-06T01:06:00Z	2023-01-10T18:35:55Z	4.886211283684123	1.4744477617687997	1000 m	4903634	29
last_group	2023-01-09T12:35:56Z	2023-01-10T18:35:55Z	61	0.1750313658382645	0.1842047557533852	1.249988425925926	0.0022933474787801764	0.0018346949709405387	2023-01-06T01:06:00Z	2023-01-10T18:35:55Z	4.886211283684123	1.4744477617687997	1000 m	4903634	29
group_16	2023-01-15T13:24:45Z	2023-01-15T19:54:45Z	14	0.14061807337594426	0.141893278615086	0.2708333333333333	3.188013097854339e-4	0.0011771125284385253	2023-01-15T12:54:45Z	2023-01-20T18:24:39Z	5.004855816479651	2.086558591443771	1000 m	4903634	30
group_29	2023-01-15T21:24:45Z	2023-01-16T02:24:45Z	11	0.14412586648152137	0.14572133537108778	0.20833333333333334	3.9886722239160233e-4	0.0019145626674796912	2023-01-15T12:54:45Z	2023-01-20T18:24:39Z	5.004855816479651	2.086558591443771	1000 m	4903634	30
group_38	2023-01-16T03:24:45Z	2023-01-16T06:54:45Z	8	0.146678922256721	0.14731744089483953	0.14583333333333334	1.596296595296337e-4	0.001094603379631774	2023-01-15T12:54:45Z	2023-01-20T18:24:39Z	5.004855816479651	2.086558591443771	1000 m	4903634	30
group_103	2023-01-16T07:54:45Z	2023-01-17T15:24:43Z	64	0.1489141835610467	0.15882824020530015	1.312476851851852	0.002478514161063365	0.0018884250473189539	2023-01-15T12:54:45Z	2023-01-20T18:24:39Z	5.004855816479651	2.086558591443771	1000 m	4903634	30
group_145	2023-01-17T16:24:43Z	2023-01-18T12:24:43Z	41	0.1604295853565961	0.1661997418308319	0.8333333333333334	0.001442539118558947	0.0017310469422707362	2023-01-15T12:54:45Z	2023-01-20T18:24:39Z	5.004855816479651	2.086558591443771	1000 m	4903634	30
