dates	cp	slope	colour	group	diff_jump	park_depth	wmo	cycle
2022-08-11T07:13:30Z	0.09668620155768456	0.2140979911214049	jump	group_98	0.004460374815029269	500 m	1902578	13
2022-08-11T22:13:29Z	0.108818064956132	0.07676592548058915	jump	group_106	0.0015984016196710638	500 m	1902578	13
2022-08-12T02:13:29Z	0.1164992963132017	0.2765906840876399	jump	group_120	0.0057623059184925	500 m	1902578	13
2022-08-12T09:13:29Z	0.13834323110060678	0.8331069720526619	jump	group_126	0.017356395251097126	500 m	1902578	13
2022-08-12T12:13:29Z	0.14124329970148083	0.07734762220386047	jump	last_group	0.0016114087959137602	500 m	1902578	13
2022-08-19T03:49:23Z	0.20198093698051617	6.061382739597257	jump	group_17	0.12627880707494288	500 m	1902578	14
2022-08-19T04:19:23Z	0.21804982516157428	0.7713066326907895	jump	group_25	0.016068888181058116	500 m	1902578	14
2022-08-19T08:19:23Z	0.23253424556443708	0.4111350607378936	jump	group_26	0.008565313765372784	500 m	1902578	14
2022-08-19T08:49:23Z	0.44589106260530026	10.24112721796143	jump	group_27	0.21335681704086318	500 m	1902578	14
2022-08-19T09:19:23Z	0.4500675182183426	0.20046986942603337	jump	group_28	0.0041764556130423625	500 m	1902578	14
2022-08-19T09:49:23Z	0.4647195492532913	0.7032974896775358	jump	group_49	0.014652031034948665	500 m	1902578	14
2022-08-19T20:19:23Z	0.4973556034404451	0.5404648185234703	jump	group_50	0.011259683719238966	500 m	1902578	14
2022-08-19T20:49:22Z	0.5037031318817013	0.30485072669513036	jump	group_51	0.006347528441256245	500 m	1902578	14
2022-08-19T21:19:22Z	0.512182202359295	0.40699538292449583	jump	group_52	0.008479070477593664	500 m	1902578	14
2022-08-19T21:49:22Z	0.5309707333807433	0.9018494890295176	jump	group_53	0.018788531021448285	500 m	1902578	14
2022-08-19T22:19:22Z	0.5441397624932103	0.6321133973984149	jump	group_54	0.013169029112466979	500 m	1902578	14
2022-08-19T22:49:22Z	0.5509191227530016	0.3254092924699829	jump	group_55	0.006779360259791312	500 m	1902578	14
2022-08-19T23:19:22Z	0.5591411194813858	0.39465584296244133	jump	group_56	0.008221996728384195	500 m	1902578	14
2022-08-19T23:49:22Z	0.5630793610167908	0.1890355936994403	jump	group_76	0.003938241535405007	500 m	1902578	14
2022-08-20T13:19:22Z	0.4867987221476825	0.20231824843616317	jump	group_84	0.004214963509086733	500 m	1902578	14
2022-08-20T13:49:22Z	0.4924255913716922	0.2700897227524645	jump	group_115	0.0056268692240096785	500 m	1902578	14
2022-08-21T05:19:21Z	0.6237139245714928	6.149747392229689	jump	group_117	0.12811973733811854	500 m	1902578	14
2022-08-21T06:19:21Z	0.7908070880727246	7.968096307838905	jump	group_118	0.16600200641331053	500 m	1902578	14
2022-08-21T06:49:21Z	0.8542519495861436	3.0453533526441112	jump	group_122	0.06344486151341899	500 m	1902578	14
2022-08-21T17:49:21Z	0.8189654996386055	0.21982637646079792	jump	last_group	0.004579716176266624	500 m	1902578	14
2022-08-28T01:04:35Z	0.08109660139074758	0.1371265383844715	jump	group_18	0.0028568028830098235	500 m	1902578	15
2022-08-28T05:34:35Z	0.08459102245244395	0.0915084614986723	jump	group_33	0.0019064262812223398	500 m	1902578	15
2022-08-28T13:04:35Z	0.0925442600509475	0.1833373259382127	jump	group_34	0.003819527623712765	500 m	1902578	15
2022-08-28T13:34:35Z	0.095092639527126	0.12232221485656812	jump	group_48	0.002548379476178503	500 m	1902578	15
2022-08-28T20:34:35Z	0.10178987051162984	0.09190267427164532	jump	group_59	0.0019146390473259445	500 m	1902578	15
2022-08-29T02:04:34Z	0.1062609288613722	0.07667425524205472	jump	group_64	0.001597380317542807	500 m	1902578	15
2022-08-29T08:34:34Z	0.12034545045568774	0.5840074942126899	jump	group_73	0.01216682279609771	500 m	1902578	15
2022-08-29T09:04:34Z	0.12226991525104866	0.09237431017732399	jump	group_98	0.0019244647953609167	500 m	1902578	15
2022-08-29T21:34:32Z	0.13512339674820753	0.07731530237143627	jump	group_99	0.001608945759998176	500 m	1902578	15
2022-08-30T19:34:32Z	0.14866415280793438	0.07749122274944174	jump	last_group	0.0016144004739467033	500 m	1902578	15
2022-09-06T05:13:57Z	0.08808849892819971	0.1831333101244825	jump	group_26	0.0038152772942600527	500 m	1902578	16
2022-09-06T10:13:57Z	0.09445539243321806	0.09173435434898679	jump	group_28	0.0019111323822705584	500 m	1902578	16
2022-09-06T11:13:57Z	0.1046635485438294	0.4746981721813405	jump	group_31	0.009889545253777929	500 m	1902578	16
2022-09-06T12:43:57Z	0.10817862765959003	0.09204954231445604	jump	group_33	0.0019176987982178345	500 m	1902578	16
2022-09-06T13:43:57Z	0.11041710555308162	0.09210105709067216	jump	group_53	0.001918772022722337	500 m	1902578	16
2022-09-06T23:43:56Z	0.11778093682400624	0.1383894666088281	jump	group_54	0.002883113887683919	500 m	1902578	16
2022-09-07T00:13:56Z	0.14059865828187443	1.0952506299776728	jump	group_55	0.022817721457868187	500 m	1902578	16
2022-09-07T00:43:56Z	0.14446806608059107	0.18573157433839868	jump	group_74	0.0038694077987166398	500 m	1902578	16
2022-09-07T10:13:56Z	0.15254137443622293	0.13959688783958055	jump	group_100	0.0029082684966579286	500 m	1902578	16
2022-09-07T23:13:55Z	0.1645198545141011	0.07779893943313441	jump	group_118	0.0016208112381903006	500 m	1902578	16
2022-09-08T08:13:55Z	0.1713344426223956	0.10909533959657346	jump	group_120	0.002272819574928614	500 m	1902578	16
2022-09-08T09:13:55Z	0.17588395972670529	0.15600878407710314	jump	group_124	0.003250183001606316	500 m	1902578	16
2022-09-08T11:13:55Z	0.1791367857984581	0.07808369703779848	jump	last_group	0.0016267436882874686	500 m	1902578	16
2022-09-15T00:44:45Z	0.0925442600509475	0.3359848137052612	jump	group_13	0.006999683618859609	500 m	1902578	17
2022-09-15T02:14:45Z	0.10402477498769706	0.5052030184299062	jump	group_44	0.010525062883956382	500 m	1902578	17
2022-09-15T17:44:45Z	0.1171400652372792	0.23055680631394068	jump	group_48	0.004803266798207098	500 m	1902578	17
2022-09-15T19:44:45Z	0.12291160932477588	0.16934612010728986	jump	group_49	0.0035280441689018727	500 m	1902578	17
2022-09-15T20:14:45Z	0.12644276801483634	0.16949561712290204	jump	group_54	0.0035311586900604597	500 m	1902578	17
2022-09-15T22:44:44Z	0.129977046729849	0.10797349149790135	jump	group_59	0.0022494477395396117	500 m	1902578	17
2022-09-16T01:14:44Z	0.15189490978835116	1.0057644790250675	jump	group_60	0.020953426646355577	500 m	1902578	17
2022-09-16T01:44:44Z	0.15383461725382502	0.09310595834274558	jump	group_138	0.0019397074654738666	500 m	1902578	17
2022-09-17T16:44:42Z	0.17360855435877648	0.1559200995222367	jump	group_139	0.0032483354067132653	500 m	1902578	17
2022-09-17T17:14:42Z	0.19903651285050705	1.2205420076030673	jump	last_group	0.025427958491730573	500 m	1902578	17
2022-09-25T07:58:45Z	0.11617895033937892	0.353322498395852	jump	group_83	0.007360885383246918	500 m	1902578	18
2022-09-25T14:28:45Z	0.12419530638329028	0.24635127678035992	jump	group_89	0.005132318266257499	500 m	1902578	18
2022-09-25T17:28:45Z	0.12644276801483634	0.07706201187136207	jump	group_102	0.0016054585806533767	500 m	1902578	18
2022-09-25T23:58:44Z	0.1328710538499394	0.07718593068775624	jump	group_106	0.0016080402226615886	500 m	1902578	18
2022-09-26T01:58:44Z	0.13544526357598127	0.0772356098753466	jump	group_133	0.0016090752057363877	500 m	1902578	18
2022-09-26T15:28:44Z	0.14479068575250045	0.07741623426525156	jump	group_134	0.0016128382138594077	500 m	1902578	18
2022-09-26T15:58:44Z	0.15545175897789307	0.5117315148188454	jump	group_136	0.010661073225392614	500 m	1902578	18
2022-09-26T16:58:44Z	0.15739319244101763	0.07766047915612527	jump	group_142	0.0016179266490859434	500 m	1902578	18
2022-09-26T19:58:44Z	0.1674389708001528	0.3112336554428649	jump	last_group	0.00648403448839302	500 m	1902578	18
2022-10-03T00:53:06Z	0.09095234694839024	0.04583250469346977	jump	group_17	9.548438477806204e-4	500 m	1902578	19
2022-10-03T05:23:06Z	0.10019427433585888	0.3824854844737721	jump	group_18	0.007968447593203587	500 m	1902578	19
2022-10-03T05:53:06Z	0.10274753381774852	0.12255645513070278	jump	group_43	0.0025532594818896415	500 m	1902578	19
2022-10-03T18:23:06Z	0.1094576044890317	0.061390887813200117	jump	group_45	0.0012789768294416692	500 m	1902578	19
2022-10-03T19:23:06Z	0.11105690081996068	0.07676622388459096	jump	group_46	0.0015992963309289787	500 m	1902578	19
2022-10-03T19:53:06Z	0.11201678563838938	0.046074471284577305	jump	group_57	9.59884818428694e-4	500 m	1902578	19
2022-10-04T01:23:05Z	0.11425741307264246	0.061464586359252	jump	group_68	0.00128051221581775	500 m	1902578	19
2022-10-04T06:53:05Z	0.1171400652372792	0.06150889048280516	jump	group_113	0.0012814352183917743	500 m	1902578	19
2022-10-05T05:23:03Z	0.12804887122854483	0.046259487032597406	jump	group_114	9.637393131791128e-4	500 m	1902578	19
2022-10-05T05:53:03Z	0.1290128427960492	0.04627063524020913	jump	group_118	9.63971567504357e-4	500 m	1902578	19
2022-10-05T07:53:03Z	0.1306199785000992	0.04628922753164088	jump	last_group	9.643589069091851e-4	500 m	1902578	19
2022-10-12T00:40:23Z	0.09413680695258292	0.09172705007652592	jump	group_8	0.0019109802099276235	500 m	1902578	20
2022-10-12T01:10:23Z	0.09891825550376018	0.22950953045650865	jump	group_13	0.004781448551177264	500 m	1902578	20
2022-10-12T03:40:23Z	0.1062609288613722	0.24524991359501344	jump	group_20	0.005109373199896114	500 m	1902578	20
2022-10-12T07:10:23Z	0.109777412604333	0.09208633270048504	jump	group_52	0.0019184652645934386	500 m	1902578	20
2022-10-13T15:10:22Z	0.12323249496932644	0.10779163775120536	jump	group_97	0.0022456591198167786	500 m	1902578	20
2022-10-13T21:40:22Z	0.1277275989903094	0.07708676379297107	jump	group_115	0.0016059742456868975	500 m	1902578	20
2022-10-14T06:40:21Z	0.1376990568500806	0.09273122614452588	jump	group_116	0.0019319005446776227	500 m	1902578	20
2022-10-14T07:10:21Z	0.13963189090556707	0.09277603466335059	jump	group_134	0.001932834055486471	500 m	1902578	20
2022-10-14T16:10:21Z	0.14608142471174812	0.0774412142955385	jump	last_group	0.0016133586311570525	500 m	1902578	20
2022-10-21T11:28:10Z	0.1056219001836012	0.2298942601544178	jump	group_39	0.004789463753217038	500 m	1902578	21
2022-10-21T15:28:10Z	0.1094576044890317	0.07673554316602259	jump	group_40	0.0015986571492921375	500 m	1902578	21
2022-10-21T15:58:10Z	0.11265683684385136	0.15356315303134346	jump	group_43	0.003199232354819656	500 m	1902578	21
2022-10-21T17:28:10Z	0.1251583496045066	0.5232449535294791	jump	group_68	0.01090093653186415	500 m	1902578	21
