depth	nb_image	juld	cycle	nb_object	conc_object	PhaseName	wmo	date
444.70001220703125	157	26707.225231481483	3	1	0.009099181073703368	NPAR	1902593	2023-02-14T05:24:20Z
435	176	26707.22638888889	3	0	0	NPAR	1902593	2023-02-14T05:26:00Z
425	176	26707.227604166666	3	0	0	NPAR	1902593	2023-02-14T05:27:45Z
415	172	26707.228796296295	3	0	0	NPAR	1902593	2023-02-14T05:29:28Z
405.1000061035156	166	26707.23	3	0	0	NPAR	1902593	2023-02-14T05:31:12Z
395	174	26707.23122685185	3	0	0	NPAR	1902593	2023-02-14T05:32:58Z
385	180	26707.232453703702	3	0	0	NPAR	1902593	2023-02-14T05:34:44Z
374.8999938964844	178	26707.23369212963	3	0	0	NPAR	1902593	2023-02-14T05:36:31Z
364.8999938964844	182	26707.234965277778	3	0	0	NPAR	1902593	2023-02-14T05:38:21Z
355	182	26707.236261574075	3	0	0	NPAR	1902593	2023-02-14T05:40:13Z
344.8999938964844	192	26707.237569444445	3	0	0	NPAR	1902593	2023-02-14T05:42:06Z
335	200	26707.238912037035	3	0	0	NPAR	1902593	2023-02-14T05:44:02Z
325.20001220703125	204	26707.240300925925	3	0	0	NPAR	1902593	2023-02-14T05:46:02Z
314.8999938964844	174	26707.24162037037	3	0	0	NPAR	1902593	2023-02-14T05:47:56Z
304.8999938964844	174	26707.242858796297	3	0	0	NPAR	1902593	2023-02-14T05:49:43Z
294.8999938964844	208	26707.24417824074	3	0	0	NPAR	1902593	2023-02-14T05:51:37Z
285	226	26707.245636574073	3	0	0	NPAR	1902593	2023-02-14T05:53:43Z
274.8999938964844	190	26707.247060185186	3	0	0	NPAR	1902593	2023-02-14T05:55:46Z
264.79998779296875	196	26707.248368055556	3	1	0.00728862973760933	NPAR	1902593	2023-02-14T05:57:39Z
255	180	26707.2496875	3	0	0	NPAR	1902593	2023-02-14T05:59:33Z
244.89999389648438	204	26707.25101851852	3	0	0	NPAR	1902593	2023-02-14T06:01:28Z
234.8000030517578	212	26707.252430555556	3	0	0	NPAR	1902593	2023-02-14T06:03:30Z
