,precision,recall,f1-score,folder,model_size
weighted avg,0.9117083084784742,0.9144511802756798,0.9121209587393636,3_3_25_1000,4.134239212356481
living macro avg,0.7056344637810896,0.6054269507052449,0.6375100046310507,3_3_25_1000,4.134239212356481
living weighted avg,0.6109758677830495,0.568105616093881,0.5795804324008557,3_3_25_1000,4.134239212356481
accuracy,0.883360991634775,0.883360991634775,0.883360991634775,1_3_50_1000,5.8526611548672
macro avg,0.5981823222406683,0.7382055059285005,0.6465836917325382,1_3_50_1000,5.8526611548672
weighted avg,0.9036572207686951,0.883360991634775,0.890372981599743,1_3_50_1000,5.8526611548672
living macro avg,0.5367142304861185,0.6951406491250378,0.5899872189270177,1_3_50_1000,5.8526611548672
living weighted avg,0.4561600807494265,0.6261525565800503,0.5224514042305181,1_3_50_1000,5.8526611548672
accuracy,0.7817252006637992,0.7817252006637992,0.7817252006637992,2_3_75_1000,1.3637771657836801
macro avg,0.36760927591391224,0.7789146331582553,0.4656013709770284,2_3_75_1000,1.3637771657836801
weighted avg,0.8909886458583922,0.7817252006637992,0.8181233004190422,2_3_75_1000,1.3637771657836801
living macro avg,0.26020178979161446,0.7542303219553226,0.3754302320757976,2_3_75_1000,1.3637771657836801
living weighted avg,0.27074119678515474,0.6705783738474435,0.3799158885384427,2_3_75_1000,1.3637771657836801
accuracy,0.9172621668303587,0.9172621668303587,0.9172621668303587,0.05_7_25_2500,31.131591914188803
macro avg,0.7736082553401863,0.6581260120945276,0.6943832876359437,0.05_7_25_2500,31.131591914188803
weighted avg,0.9138552678551385,0.9172621668303587,0.9145392252236217,0.05_7_25_2500,31.131591914188803
living macro avg,0.7472142288861348,0.5962041136939762,0.6449944324563617,0.05_7_25_2500,31.131591914188803
living weighted avg,0.629502057824727,0.5649622799664711,0.5861617737347816,0.05_7_25_2500,31.131591914188803
accuracy,0.9144173129677922,0.9144173129677922,0.9144173129677922,2_5_25_1000,6.151123070054401
macro avg,0.7586866827917657,0.6543189116402087,0.6837377219058848,2_5_25_1000,6.151123070054401
weighted avg,0.9116391550634517,0.9144173129677922,0.9121756754167,2_5_25_1000,6.151123070054401
living macro avg,0.7295570652087067,0.5919597576446778,0.6324727859051499,2_5_25_1000,6.151123070054401
living weighted avg,0.6093410752711351,0.5637049455155071,0.5778075827538469,2_5_25_1000,6.151123070054401
accuracy,0.9230704101330985,0.9230704101330985,0.9230704101330985,0.05_6_0_2500,44.297569441829765
macro avg,0.8487144827627915,0.6107047176960646,0.6919529602143217,0.05_6_0_2500,44.297569441829765
weighted avg,0.9153505352271112,0.9230704101330985,0.916030601930412,0.05_6_0_2500,44.297569441829765
